Statement,Link,Date, Source, Label
"In my first year in office^ Aurora homicides went down by 40%.",https://www.politifact.com/factchecks/2022/mar/06/richard-irvin/aurora-mayor-richard-irvin-says-he-reduced-homicid/,arch 6^ 2022,Richard Irvin,barely-true
Says Vladimir Putin said the West is controlled by Satanic pedophiles.,https://www.politifact.com/factchecks/2022/mar/04/viral-image/no-putin-didnt-say-west-controlled-satanic-pedophi/,March 4^ 2022,Viral image,false
Photo shows a Russian tank Ukrainians are selling on eBay.,https://www.politifact.com/factchecks/2022/mar/04/viral-image/no-isnt-photo-russian-tank-sale-ebay/,March 4^ 2022,Viral image,false
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,https://www.politifact.com/factchecks/2022/mar/04/ron-johnson/immigrants-who-are-known-criminals-are-not-using-a/,March 4^ 2022,Ron Johnson,barely-true
Video shows Ukrainian crisis actors come to life after pretending to be dead.,https://www.politifact.com/factchecks/2022/mar/04/tweets/video-climate-change-protest-austria-it-doesnt-sho/,March 4^ 2022,Tweets,false
Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/no-sean-penns-ukraine-trip-isnt-proof-russian-inva/,March 4^ 2022,Facebook posts,false
The war in Ukraine is “scripted and staged.”,https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/evidence-russias-war-ukraine-plentiful-and-proves-/,March 4^ 2022,Facebook posts,pants-fire
Wearing masks is “COVID theater” and “not doing anything.”,https://www.politifact.com/factchecks/2022/mar/04/ron-desantis/florida-gov-ron-desantis-mischaracterizes-efficacy/,March 4^ 2022,Ron DeSantis,false
A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/no-woman-driving-armored-vehicle-isnt-ukrainian-sh/,March 4^ 2022,Facebook posts,false
Image shows Ukrainian President Volodymyr Zelensky “has joined the front lines with his troops.”,https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/ukrainian-president-not-frontline-military/,March 4^ 2022,Facebook posts,false
Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,https://www.politifact.com/factchecks/2022/mar/04/mike-gibbons/fact-checking-whether-bidens-russia-sanctions-over/,March 4^ 2022,Mike Gibbons,half-true
The IRS is taking money away from people who received unemployment benefits.,https://www.politifact.com/factchecks/2022/mar/03/facebook-posts/misleading-post-links-unemployment-benefits-and-re/,March 3^ 2022,Facebook posts,barely-true
“I’ve been in and out of Iraq and Afghanistan over 40 times.”,https://www.politifact.com/factchecks/2022/mar/03/joe-biden/biden-exaggerates-trips-iraq-afghanistan-state-uni/,March 3^ 2022,Joe Biden,false
A 2022 CNN report said^ “Russia deploys two nuke bombers in US backyard^ Venezuela.”,https://www.politifact.com/factchecks/2022/mar/03/facebook-posts/cnn-clip-russias-military-moves-americas-backyard-/,March 3^ 2022,Facebook posts,false
“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”,https://www.politifact.com/factchecks/2022/mar/03/facebook-posts/fema-added-covid-19-safety-measures-nuclear-explos/,March 3^ 2022,Facebook posts,barely-true
"During the first 3 months of FY2022 Customs& Border Protection recorded 518k encounters w illegal immigrants at S border That’s up 137% from same point in FY2021.",https://www.politifact.com/factchecks/2022/mar/03/chuck-grassley/border-encounters-partially-due-covid-19-expulsion/,March 3^ 2022,Chuck Grassley,mostly-true
"The Russian army does not occupy Ukrainian territory.",https://www.politifact.com/factchecks/2022/mar/03/russian-embassy-canada/russias-pants-fire-claim-it-not-occupying-ukrainia/,March 3^ 2022,Russian Embassy in Canada,pants-fire
Ukrainians altered this street sign to tell Russian troops to go “f---” themselves.,https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/photo-ukrainian-road-sign-colorful-language-russia/,March 2^ 2022,Facebook posts,false
There are now zero students^ staff or anyone “related to the school system” in Union County” hospitalized with COVID-19^ despite harsh criticism of school COVID policy.,https://www.politifact.com/factchecks/2022/mar/02/david-willis/nc-lawmaker-misleads-about-union-county-covid-case/,March 2^ 2022,David Willis,half-true
Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/these-photos-molotov-cocktails-are-2014-protests-k/,March 2^ 2022,Facebook posts,false
“Our economy created over 6.5 million new jobs just last year^ more jobs in one year than ever before in the history of the United States of America.”,https://www.politifact.com/factchecks/2022/mar/02/joe-biden/fact-checking-joe-biden-scale-job-gains-2021/,March 1^ 2022,Joe Biden,half-true
"According to Republican Rep. Jeff Shipley^ teachers should not receive a pay raise if they teach American history that Republicans don’t agree with.",https://www.politifact.com/factchecks/2022/mar/02/iowa-house-democrats/jeff-shipley-says-teachers-should-not-get-raises-i/,March 1^ 2022,Iowa House Democrats,mostly-true
Russia unveiled a nuclear weapon^ "Satan 2^" that is "capable of destroying everything breathing in the world.",https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/new-russian-nuke-weapon-dubbed-satan-2-cannot-dest/,March 1^ 2022,Facebook posts,false
"An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”,https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/photo-girl-confronting-soldier-2012-west-bank-not-/,March 1^ 2022,Facebook posts,false
A photo of a wounded young child was captured in Ukraine in 2022.,https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/photo-injured-child-syria-2018-not-russia-ukraine-/,March 1^ 2022,Facebook posts,false
Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/social-posts-mislead-sharing-2017-movie-clip-ukrai/,March 1^ 2022,Facebook posts,false
Joe Biden was holding a medical device in a photo he tweeted during the 2022 Winter Olympics.,https://www.politifact.com/factchecks/2022/mar/01/blog-posting/joe-biden-not-holding-medical-device-photo-tweeted/,March 1^ 2022,Bloggers,pants-fire
The 2020 election “was stolen from Donald J. Trump.”,https://www.politifact.com/factchecks/2022/mar/01/josh-mandel/ohios-mandel-repeats-false-claim-stolen-2020-elect/,March 1^ 2022,Josh Mandel,pants-fire
"Ukrainian fighter-ace known as the 'Ghost of Kyiv's real name is Samuyil Hyde.”,https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/samuyil-hyde-internet-meme-not-ghost-kyiv-pilot/,March 1^ 2022,Facebook posts,pants-fire
“Over-vaccination causes faster mutation of the (COVID-19) virus^ which causes a super virus we may not have the ability to fight off.”,https://www.politifact.com/factchecks/2022/mar/01/mary-felzkowski/no-vaccination-does-not-cause-covid-19-mutate-fast/,March 1^ 2022,Mary Felzkowski,false
